item,itemLabel,url
http://www.wikidata.org/entity/Q4027,université Jean-Moulin-Lyon-III,http://www.univ-lyon3.fr/
http://www.wikidata.org/entity/Q4032,université Claude-Bernard-Lyon-I,http://www.univ-lyon1.fr
http://www.wikidata.org/entity/Q4041,université Lumière Lyon-II,http://www.univ-lyon2.fr/
http://www.wikidata.org/entity/Q13334,université d'Orléans,http://www.univ-orleans.fr/
http://www.wikidata.org/entity/Q13342,université Bordeaux-Montaigne,http://www.u-bordeaux-montaigne.fr/
http://www.wikidata.org/entity/Q13344,université de Bordeaux,http://www.u-bordeaux.fr/
http://www.wikidata.org/entity/Q157575,université de Strasbourg,http://www.unistra.fr
http://www.wikidata.org/entity/Q186638,université de Versailles-Saint-Quentin-en-Yvelines,http://www.uvsq.fr/
http://www.wikidata.org/entity/Q259388,université de Nantes,http://www.univ-nantes.fr/
http://www.wikidata.org/entity/Q280183,université de Haute-Alsace,http://www.uha.fr
http://www.wikidata.org/entity/Q287072,université de Bourgogne,http://en.u-bourgogne.fr/
http://www.wikidata.org/entity/Q287072,université de Bourgogne,http://www.u-bourgogne.fr/
http://www.wikidata.org/entity/Q304872,université de Perpignan,http://www.univ-perp.fr/
http://www.wikidata.org/entity/Q335841,université de Corse-Pascal-Paoli,http://www.univ-corse.fr
http://www.wikidata.org/entity/Q459026,université Rennes-II,http://www.univ-rennes2.fr/
http://www.wikidata.org/entity/Q475504,université d'Artois,http://www.univ-artois.fr/
http://www.wikidata.org/entity/Q494247,université de Rouen-Normandie,http://www.univ-rouen.fr
http://www.wikidata.org/entity/Q494335,université de Tours,http://www.univ-tours.fr
http://www.wikidata.org/entity/Q500740,université Lille-I,http://www.univ-lille1.fr
http://www.wikidata.org/entity/Q501207,université Paris-Est-Marne-la-Vallée,http://www.u-pem.fr
http://www.wikidata.org/entity/Q546118,université Paris-Sorbonne,http://www.paris-sorbonne.fr
http://www.wikidata.org/entity/Q568554,université Caen-Normandie,http://www.unicaen.fr/
http://www.wikidata.org/entity/Q571293,université Sorbonne-Nouvelle,http://www.univ-paris3.fr
http://www.wikidata.org/entity/Q572968,université de Pau et des pays de l'Adour,http://www.univ-pau.fr
http://www.wikidata.org/entity/Q590201,université Toulouse-I-Capitole,http://www.univ-tlse1.fr/
http://www.wikidata.org/entity/Q623154,université Jean-Monnet-Saint-Étienne,https://www.univ-st-etienne.fr
http://www.wikidata.org/entity/Q661056,université de Poitiers,http://www.univ-poitiers.fr/
http://www.wikidata.org/entity/Q662976,université Panthéon-Assas,http://www.u-paris2.fr
http://www.wikidata.org/entity/Q726595,université de Rennes I,http://www.univ-rennes1.fr/
http://www.wikidata.org/entity/Q734332,université de la Nouvelle-Calédonie,http://www.univ-nc.nc/
http://www.wikidata.org/entity/Q776223,université de Montpellier,http://www.umontpellier.fr/
http://www.wikidata.org/entity/Q829449,université de Franche-Comté,http://www.univ-fcomte.fr
http://www.wikidata.org/entity/Q834819,université de La Réunion,http://www.univ-reunion.fr/university-of-reunion-island/
http://www.wikidata.org/entity/Q834819,université de La Réunion,http://www.univ-reunion.fr
http://www.wikidata.org/entity/Q834825,université du Maine,http://www.univ-lemans.fr/
http://www.wikidata.org/entity/Q945876,université de Grenoble,http://www.univ-grenoble-alpes.fr
http://www.wikidata.org/entity/Q947747,université de Picardie,https://www.u-picardie.fr
http://www.wikidata.org/entity/Q980688,université Paris-Est-Créteil-Val-de-Marne,http://www.u-pec.fr/
http://www.wikidata.org/entity/Q999763,université Panthéon-Sorbonne,http://www.univ-paris1.fr/
http://www.wikidata.org/entity/Q1125958,université de Bretagne-Sud,http://www.univ-ubs.fr/
http://www.wikidata.org/entity/Q1141586,université Lille-III,http://www.univ-lille3.fr
http://www.wikidata.org/entity/Q1144549,université Pierre-et-Marie-Curie,http://www.upmc.fr
http://www.wikidata.org/entity/Q1155944,université Paris-Descartes,http://www.parisdescartes.fr/
http://www.wikidata.org/entity/Q1194988,université Paris-VIII,http://www.univ-paris8.fr/
http://www.wikidata.org/entity/Q1198571,université Nice-Sophia-Antipolis,http://www.unice.fr/
http://www.wikidata.org/entity/Q1235608,université Paris-Diderot,http://www.univ-paris-diderot.fr
http://www.wikidata.org/entity/Q1273188,université Toulouse-III-Paul-Sabatier‎,http://www.univ-tlse3.fr/
http://www.wikidata.org/entity/Q1394262,université Paris-Nanterre,https://www.u-paris10.fr
http://www.wikidata.org/entity/Q1480643,université Paris-Sud,http://www.u-psud.fr
http://www.wikidata.org/entity/Q1500822,université de La Rochelle,http://www.univ-larochelle.fr/
http://www.wikidata.org/entity/Q1531014,université d'Évry-Val-d'Essonne,http://www.univ-evry.fr
http://www.wikidata.org/entity/Q1538727,université d'Angers,http://www.univ-angers.fr/
http://www.wikidata.org/entity/Q1548539,université polytechnique des Hauts-de-France,http://www.uphf.fr/
http://www.wikidata.org/entity/Q1695245,université de la Polynésie française,http://www.upf.pf/
http://www.wikidata.org/entity/Q1780212,université Paris XIII,http://www.univ-paris13.fr/
http://www.wikidata.org/entity/Q1784954,université du Havre,http://www.univ-lehavre.fr
http://www.wikidata.org/entity/Q1816857,université de Toulon,http://www.univ-tln.fr/
http://www.wikidata.org/entity/Q1857334,université de Bretagne occidentale,http://www.univ-brest.fr/
http://www.wikidata.org/entity/Q1933558,université Toulouse-Jean-Jaurès,http://www.univ-tlse2.fr/
http://www.wikidata.org/entity/Q2033119,Avignon Université,http://www.univ-avignon.fr/
http://www.wikidata.org/entity/Q2302586,université d'Aix-Marseille,http://www.aixmarseille-universite.fr/
http://www.wikidata.org/entity/Q2302586,université d'Aix-Marseille,http://www.univ-amu.fr/
http://www.wikidata.org/entity/Q2496006,université de Cergy-Pontoise,http://www.u-cergy.fr
http://www.wikidata.org/entity/Q2496121,université de Nîmes,http://www.unimes.fr/en/
http://www.wikidata.org/entity/Q2496149,université de Reims Champagne-Ardenne,http://www.univ-reims.fr/
http://www.wikidata.org/entity/Q2496158,université Savoie-Mont-Blanc,https://www.univ-smb.fr/
http://www.wikidata.org/entity/Q2661290,université de Limoges,https://unilim.fr/
http://www.wikidata.org/entity/Q2912244,université Paul-Valéry-Montpellier,http://www.univ-montp3.fr/
http://www.wikidata.org/entity/Q3551621,université de Lille,http://www.univ-lille.fr/
http://www.wikidata.org/entity/Q3551755,université du Littoral-Côte-d'Opale,http://www.univ-littoral.fr/
http://www.wikidata.org/entity/Q11509930,université Lille-II,http://www.univ-lille2.fr
http://www.wikidata.org/entity/Q16682067,université de Guyane,http://www.univ-guyane.fr/
http://www.wikidata.org/entity/Q16682075,université des Antilles,http://www.univ-antilles.fr
http://www.wikidata.org/entity/Q28057967,Université Clermont Auvergne,https://www.uca.fr
http://www.wikidata.org/entity/Q41497113,Sorbonne Université,http://sorbonne-universite.fr/
